x,y
-2.988324020591926,-3.2302130272126712
-2.939041656983383,-3.2386539224057853
-2.8897592933748397,-3.2470948175988994
-1.5591354759441725,-3.4749989878129854
-4.01481276117822,-3.0036718645487275
-3.9655303975696765,-3.012112759741842
-2.9306007617902687,-3.189371558797242
-2.8813183981817256,-3.1978124539903563
-2.832036034573182,-3.206253349183471
-2.782753670964639,-3.214694244376585
-2.733471307356096,-3.223135139569699
-2.6841889437475523,-3.2315760347628135
-2.6349065801390092,-3.240016929955928
-2.585624216530466,-3.248457825149042
-2.5363418529219226,-3.256898720342156
-2.4870594893133795,-3.2653396155352707
-1.550694580751058,-3.4257166242044423
-4.0063718659851055,-2.9543895009401844
-3.957089502376562,-2.9628303961332985
-2.6264656849458947,-3.1907345663473845
-2.5771833213373516,-3.199175461540499
-2.527900957728808,-3.207616356733613
-1.5422536855579434,-3.3764342605958992
-3.9979309707919914,-2.9051071373316413
-3.948648607183448,-2.9135480325247554
-2.6180247897527806,-3.1414522027388414
-2.5687424261442375,-3.1498930979319555
-2.519460062535694,-3.15833399312507
-1.583095153973372,-3.3187110017942416
-1.5338127903648289,-3.3271518969873557
-4.0387724392074205,-2.8473838785299836
-3.9894900755988774,-2.8558247737230977
-3.9402077119903334,-2.8642656689162123
-3.8909253483817903,-2.8727065641093263
-2.560301530951123,-3.1006107343234124
-2.51101916734258,-3.109051629516527
-1.5746542587802583,-3.269428638185698
-4.030331544014306,-2.7981015149214405
-3.981049180405763,-2.8065424101145546
-3.9317668167972193,-2.8149833053076687
-2.551860635758009,-3.0513283707148693
-2.5025782721494654,-3.0597692659079834
-1.5662133635871438,-3.220146274577155
-4.021890648821191,-2.748819151312897
-3.9726082852126487,-2.7572600465060115
-3.923325921604105,-2.7657009416991256
-2.543419740564895,-3.002046007106326
-1.5577724683940293,-3.170863910968612
-4.013449753628077,-2.699536787704354
-3.964167390019534,-2.707977682897468
-3.9148850264109907,-2.7164185780905825
-2.5842612089803234,-2.9443227483046686
-2.5349788453717803,-2.9527636434977826
-1.5493315732009156,-3.1215815473600683
-4.005008858434963,-2.650254424095811
-3.95572649482642,-2.658695319288925
-3.9064441312178766,-2.6671362144820394
-2.5758203137872093,-2.895040384696125
-2.5265379501786662,-2.9034812798892395
-1.5901730416163442,-3.063858288558411
-1.540890678007801,-3.072299183751525
-3.9965679632418487,-2.6009720604872673
-3.9472855996333056,-2.609412955680382
-2.567379418594095,-2.845758021087582
-2.5180970549855517,-2.854198916280696
-1.5817321464232297,-3.0145759249498676
-1.5324497828146866,-3.023016820142982
-4.037409431657277,-2.54324880168561
-3.9881270680487346,-2.551689696878724
-3.9388447044401915,-2.5601305920718387
-2.5589385234009807,-2.796475657479039
-2.5096561597924376,-2.804916552672153
-1.5732912512301152,-2.9652935613413245
-4.028968536464163,-2.4939664380770665
-3.97968617285562,-2.502407333270181
-2.550497628207866,-2.7471932938704953
-1.5648503560370015,-2.9160111977327814
-4.020527641271049,-2.4446840744685234
-3.971245277662506,-2.4531249696616375
-3.921962914053963,-2.461565864854752
-2.591339096623295,-2.6894700350688376
-2.542056733014752,-2.697910930261952
-1.556409460843887,-2.8667288341242383
-4.012086746077935,-2.3954017108599803
-3.9628043824693915,-2.4038426060530944
-3.9135220188608484,-2.4122835012462085
-2.5828982014301807,-2.6401876714602945
-2.5336158378216376,-2.648628566653409
-1.5479685656507725,-2.8174464705156947
-3.9543634872762774,-2.3545602424445513
-3.9050811236677343,-2.3630011376376654
-2.5744573062370666,-2.5909053078517514
-2.426610215411437,-2.616227993431094
-1.539527670457658,-2.7681641069071516
-3.995204955691706,-2.2968369836428937
-3.945922592083163,-2.3052778788360078
-3.8966402284746198,-2.3137187740291223
-2.6152987746524956,-2.533182049050094
-2.566016411043952,-2.5416229442432083
-2.467451683826866,-2.558504734629437
-2.4181693202183223,-2.566945629822551
-2.368886956609779,-2.5753865250156656
-1.5803691388730883,-2.710440848105494
-1.5310867752645443,-2.7188817432986085
-3.986764060498592,-2.2475546200343506
-2.557575515850838,-2.4923405806346652
-2.508293152242295,-2.5007814758277793
-2.4097284250252082,-2.517663266214008
-2.360446061416665,-2.5261041614071225
-2.311163697808122,-2.5345450566002365
-1.5719282436799737,-2.661158484496951
-1.5226458800714298,-2.669599379690065
-3.9290408016969343,-2.2067131516189216
-3.879758438088391,-2.215154046812036
-2.5491346206577234,-2.4430582170261217
-2.4998522570491803,-2.451499112219236
-2.4012875298320937,-2.468380902605465
-2.3520051662235506,-2.476821797798579
-2.3027228026150075,-2.485262692991693
-1.5634873484868592,-2.611876120888408
-2.639258452681696,-2.37689406303135
-2.3435642710304365,-2.427539434190036
-2.2942819074218934,-2.43598032938315
-2.24499954381335,-2.4444212245762644
-1.5550464532937447,-2.5625937572798643
-2.5815351938800384,-2.336052594615921
-2.532252830271495,-2.344493489809035
-2.4829704666629517,-2.3529343850021496
-2.285841012228779,-2.386697965774607
-2.2365586486202353,-2.395138860967721
-1.546605558100631,-2.513311393671321
-2.2281177534271217,-2.345856497359178
-2.1788353898185777,-2.354297392552292
-1.5381646629075165,-2.464029030062778
-2.219676858234007,-2.2965741337506342
-2.170394494625464,-2.3050150289437488
-2.121112131016921,-2.3134559241368633
-1.579006131322945,-2.4063057712611204
-1.529723767714402,-2.4147466664542345
-2.654777235517782,-2.1713237134040626
-2.1619535994323495,-2.2557326653352057
-2.1126712358238064,-2.26417356052832
-2.0633888722152633,-2.2726144557214343
-1.5705652361298315,-2.3570234076525773
-1.5212828725212875,-2.3654643028456914
-2.5970539767161247,-2.1304822449886336
-2.104230340630692,-2.2148911969197767
-2.054947977022149,-2.2233320921128907
-1.562124340936717,-2.307741044044034
-2.6378954451315533,-2.072758986186976
-2.58861308152301,-2.0811998813800905
-2.0957894454375783,-2.165608833311233
-2.046507081829035,-2.1740497285043476
-1.9972247182204912,-2.182490623697462
-1.5536834457436024,-2.2584586804354907
-2.629454549938439,-2.023476622578433
-2.530889822721353,-2.0403584129646615
-2.0380661866359207,-2.1247673648958045
-1.9887838230273767,-2.133208260088919
-1.9395014594188336,-2.141649155282033
-1.5452425505504879,-2.2091763168269476
-2.6210136547453247,-1.9741942589698898
-2.5717312911367816,-1.9826351541630038
-2.5224489275282385,-1.9910760493561184
-1.980342927834263,-2.0839258964803755
-1.93106056422572,-2.0923667916734896
-1.5860840189659173,-2.15145305802529
-1.5368016553573742,-2.159893953218404
-1.9719020326411485,-2.0346435328718324
-1.9226196690326054,-2.0430844280649465
-1.8733373054240623,-2.051525323258061
-1.5776431237728028,-2.102170694416747
-1.9141787738394909,-1.9938020644564034
-1.8648964102309478,-2.002242959649518
-1.8156140466224047,-2.010683854842632
-1.5692022285796883,-2.0528883308082033
-1.8564555150378332,-1.9529605960409744
